position,from_macro,to_macro,count,prob
0,sshd,cat,4587,0.7714429868819375
0,sshd,echo,690,0.11604439959636731
0,sshd,>/tmp/.l,222,0.03733602421796166
0,sshd,enable,195,0.03279515640766902
0,sshd,sh,131,0.02203161789438278
0,sshd,cd,45,0.0075681130171543895
0,sshd,uname,36,0.006054490413723511
0,sshd,wget,9,0.0015136226034308778
0,sshd,ifconfig,9,0.0015136226034308778
0,sshd,scp,7,0.0011772620248906827
0,sshd,cp,5,0.0008409014463504877
0,sshd,empty,5,0.0008409014463504877
0,sshd,rm,1,0.00016818028927009755
0,sshd,grep,1,0.00016818028927009755
0,sshd,ping,1,0.00016818028927009755
0,sshd,执行命令,1,0.00016818028927009755
0,sshd,chmod,1,0.00016818028927009755
1,>/tmp/.l,cd,222,1.0
1,cat,grep,4300,0.9930715935334873
1,cat,>/tmp/.a,26,0.006004618937644342
1,cat,cat,3,0.0006928406466512702
1,cat,cd,1,0.00023094688221709007
1,cd,rm,30,0.6666666666666666
1,cd,chmod,7,0.15555555555555556
1,cd,cd,5,0.1111111111111111
1,cd,wget,3,0.06666666666666667
1,chmod,nohup,1,1.0
1,cp,>/tmp/ntpclient,5,1.0
1,echo,echo,452,0.8432835820895522
1,echo,cat,79,0.14738805970149255
1,echo,enable,4,0.007462686567164179
1,echo,md5sum,1,0.0018656716417910447
1,enable,sh,173,0.8871794871794871
1,enable,su,22,0.11282051282051282
1,ifconfig,uname,9,1.0
1,ping,sh,1,1.0
1,rm,cd,1,1.0
1,sh,empty,122,0.9312977099236641
1,sh,ls,5,0.03816793893129771
1,sh,cd,4,0.030534351145038167
1,uname,/bin/uname,5,0.5
1,uname,nproc,3,0.3
1,uname,lspci,1,0.1
1,uname,lscpu,1,0.1
1,wget,chmod,7,0.7777777777777778
1,wget,sh,2,0.2222222222222222
2,/bin/uname,/usr/bin/uname,5,1.0
2,>/tmp/.a,cd,26,1.0
2,>/tmp/ntpclient,chmod,5,1.0
2,cat,cat,78,0.975
2,cat,while,2,0.025
2,cd,echo,222,0.9527896995708155
2,cd,cd,5,0.02145922746781116
2,cd,wget,5,0.02145922746781116
2,cd,rm,1,0.004291845493562232
2,chmod,bash,7,0.5
2,chmod,./x-8.6-.Sakura,3,0.21428571428571427
2,chmod,./fbot.x86_64,2,0.14285714285714285
2,chmod,./apep.x86,1,0.07142857142857142
2,chmod,./x86_64,1,0.07142857142857142
2,echo,echo,1,1.0
2,empty,enable,122,1.0
2,enable,sh,4,1.0
2,grep,wc,4296,0.9990697674418605
2,grep,cut,4,0.0009302325581395349
2,ls,cd,1,1.0
2,lspci,grep,1,1.0
2,md5sum,uname,1,1.0
2,rm,mkdir,30,1.0
2,sh,cat,172,0.9772727272727273
2,sh,curl,2,0.011363636363636364
2,sh,echo,1,0.005681818181818182
2,sh,/bin/busybox,1,0.005681818181818182
2,su,sh,22,1.0
2,uname,cat,9,1.0
2,wget,sh,3,1.0
3,cat,/bin/busybox,172,0.6666666666666666
3,cat,cp,75,0.29069767441860467
3,cat,ps,8,0.031007751937984496
3,cat,wget,2,0.007751937984496124
3,cat,>/tmp/.a,1,0.003875968992248062
3,cd,>/dev/.a,26,0.8125
3,cd,cd,6,0.1875
3,curl,sh,2,1.0
3,cut,uniq,4,1.0
3,echo,./helloworld,222,0.9955156950672646
3,echo,passwd,1,0.004484304932735426
3,enable,empty,122,1.0
3,grep,curl,1,1.0
